formulation_id,raw_electrolyte_text,cell_type,salt_name,salt_name_2,salt_name_3,salt_concentration_m,salt_concentration_2_m,salt_concentration_3_m,anion_name,solvent_1,solvent_1_fraction,solvent_2,solvent_2_fraction,solvent_3,solvent_3_fraction,additive_1,additive_1_fraction,additive_2,additive_2_fraction,n_conditions,ce_mean_min,ce_mean_max,current_density_min_ma_cm2,current_density_max_ma_cm2,areal_capacity_min_mah_cm2,areal_capacity_max_mah_cm2,notes,references
lifsi_1_4dme_3tfeb,LiFSI-1.4DME-3TFEB,Li|Cu,LiFSI,,,,,,FSI,DME,,,,,,,,,,1,95.4,95.4,0.5,0.5,1.0,1.0,,"Cao, X. et al. Effects of fluorinated solvents on electrolyte solvation structures and electrode/electrolyte interphases for lithium metal batteries. Proc. Natl. Acad. Sci. 118, e2020357118 (2021)."
1_m_lifsi_thf,1 M LiFSI THF,Li|Cu,LiFSI,,,1.0,,,FSI,,1.0,,,,,,,,,1,95.8,95.8,1.0,1.0,1.0,1.0,unknown_tokens:THF,"Xu, R. et al. Designing and Demystifying the Lithium Metal Interface toward Highly Reversible Batteries. Adv. Mater. 33, 2105962 (2021)."
1_m_lifsi_fec,1 M LiFSI FEC,Li|Cu,LiFSI,,,1.0,,,FSI,FEC,1.0,EC,,,,,,,,1,96.11,96.11,0.25,0.25,0.5,0.5,,"Suo, L. et al. Fluorine-donating electrolytes enable highly reversible 5-V-class Li metal batteries. Proc. Natl. Acad. Sci. 115, 1156 LP – 1161 (2018)."
0_5_m_lifsi_0_5_m_lipo2f2_dme,0.5 M LiFSI+0.5 M LiPO2F2/DME,Li|Cu,LiFSI,LiPO2F2,,0.5,0.5,,FSI,DME,1.0,,,,,,,,,1,96.4,96.4,0.5,0.5,1.0,1.0,unsupported_species:PO2F2,"Dong, N. et al. A LiPO2F2/LiFSI dual-salt electrolyte enabled stable cycling of lithium metal batteries. J. Power Sources 400, 449–456 (2018)."
2_m_lifsi_fec,2 M LiFSI FEC,Li|Cu,LiFSI,,,2.0,,,FSI,FEC,1.0,EC,,,,,,,,1,96.76,96.76,0.25,0.25,0.5,0.5,,"Suo, L. et al. Fluorine-donating electrolytes enable highly reversible 5-V-class Li metal batteries. Proc. Natl. Acad. Sci. 115, 1156 LP – 1161 (2018)."
lifsi_1_2dme_3btfec,LiFSI-1.2DME-3BTFEC,Li|Cu,LiFSI,,,,,,FSI,DME,,BTFE,,TFEC,,FEC,,EC,,1,96.8,96.8,0.5,0.5,1.0,1.0,unsupported_species:BTFE|TFEC,"Cao, X. et al. Effects of fluorinated solvents on electrolyte solvation structures and electrode/electrolyte interphases for lithium metal batteries. Proc. Natl. Acad. Sci. 118, e2020357118 (2021)."
3_m_lifsi_fec,3 M LiFSI FEC,Li|Cu,LiFSI,,,3.0,,,FSI,FEC,1.0,EC,,,,,,,,1,97.14,97.14,0.25,0.25,0.5,0.5,,"Suo, L. et al. Fluorine-donating electrolytes enable highly reversible 5-V-class Li metal batteries. Proc. Natl. Acad. Sci. 115, 1156 LP – 1161 (2018)."
1m_lifsi_dme,1M LiFSI DME,Li|Cu,LiFSI,,,1.0,,,FSI,DME,1.0,,,,,,,,,1,97.25,97.25,0.5,0.5,1.0,1.0,,"Kim, S. C. et al. Potentiometric Measurement to Probe Solvation Energy and Its Correlation to Lithium Battery Cyclability. J. Am. Chem. Soc. 143, 10301–10308 (2021)."
3_2m_lifsi_tep,3.2M LiFSI TEP,Li|Cu,LiFSI,,,3.2,,,FSI,TEP,1.0,EP,,,,,,,,1,97.3,97.3,0.5,0.5,1.0,1.0,unsupported_species:TEP,"Chen, S. et al. High-Efficiency Lithium Metal Batteries with Fire-Retardant Electrolytes. Joule 2, 1548–1558 (2018)."
lifsi_sl_1_3_molar,LiFSI SL (1:3 molar),Li|Cu,LiFSI,,,,,,FSI,SL,,,,,,,,,,1,97.3,97.3,1.0,1.0,0.5,0.5,unknown_tokens:MOLAR,"Maeyoshi, Y. et al. Long-Term Stable Lithium Metal Anode in Highly Concentrated Sulfolane-Based Electrolytes with Ultrafine Porous Polyimide Separator. ACS Appl. Mater. Interfaces 11, 25833–25843 (2019)."
4_m_lifsi_fec,4 M LiFSI FEC,Li|Cu,LiFSI,,,4.0,,,FSI,FEC,1.0,EC,,,,,,,,1,97.41,97.41,0.25,0.25,0.5,0.5,,"Suo, L. et al. Fluorine-donating electrolytes enable highly reversible 5-V-class Li metal batteries. Proc. Natl. Acad. Sci. 115, 1156 LP – 1161 (2018)."
1m_lifsi_fec_dec_1_2_by_volume,1M LiFSI FEC-DEC (1:2 by volume),Li|Cu,LiFSI,,,1.0,,,FSI,FEC,0.3333,EC,0.6667,DEC,,,,,,1,97.43,97.43,0.5,0.5,1.0,1.0,unknown_tokens:BY|VOLUME,"Kim, S. C. et al. Potentiometric Measurement to Probe Solvation Energy and Its Correlation to Lithium Battery Cyclability. J. Am. Chem. Soc. 143, 10301–10308 (2021)."
1_m_lifsi_1_4_dioxolane,"1 M LiFSI 1,4-Dioxolane",Li|Cu,LiFSI,,,1.0,,,FSI,,1.0,,,,,,,,,1,97.5,97.5,1.0,1.0,1.0,1.0,unknown_tokens:DIOXOLANE,"Xu, R. et al. Designing and Demystifying the Lithium Metal Interface toward Highly Reversible Batteries. Adv. Mater. 33, 2105962 (2021)."
1_m_lifsi_ec_etfec_3_7_vol,1 M LiFSI/EC-ETFEC (3:7 vol),Li|Cu,LiFSI,,,1.0,,,FSI,EC,0.3,TFEC,0.7,FEC,,,,,,1,97.5,97.5,0.25,0.25,0.5,0.5,unknown_tokens:ETFEC;unsupported_species:TFEC,"Chen, S. et al. High-Efficiency Lithium Metal Anode Enabled by a Concentrated/Fluorinated Ester Electrolyte. ACS Appl. Mater. Interfaces 12, 27794–27802 (2020)."
5_m_lifsi_pc,5 M LiFSI PC,Li|Cu,LiFSI,,,5.0,,,FSI,PC,1.0,,,,,,,,,1,97.5,97.5,0.5,0.5,1.0,1.0,,"Fan, X. et al. Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries. Chem 4, 174–185 (2018)."
5_m_lifsi_fec,5 M LiFSI FEC,Li|Cu,LiFSI,,,5.0,,,FSI,FEC,1.0,EC,,,,,,,,1,97.65,97.65,0.25,0.25,0.5,0.5,,"Suo, L. et al. Fluorine-donating electrolytes enable highly reversible 5-V-class Li metal batteries. Proc. Natl. Acad. Sci. 115, 1156 LP – 1161 (2018)."
6_m_lifsi_fec,6 M LiFSI FEC,Li|Cu,LiFSI,,,6.0,,,FSI,FEC,1.0,EC,,,,,,,,1,97.67,97.67,0.25,0.25,0.5,0.5,,"Suo, L. et al. Fluorine-donating electrolytes enable highly reversible 5-V-class Li metal batteries. Proc. Natl. Acad. Sci. 115, 1156 LP – 1161 (2018)."
1m_lifsi_dmb,1M LiFSI DMB,Li|Cu,LiFSI,,,1.0,,,FSI,DMB,1.0,,,,,,,,,1,97.7,97.7,0.5,0.5,1.0,1.0,unsupported_species:DMB,"Yu, Z. et al. Molecular design for electrolyte solvents enabling energy-dense and long-cycling lithium metal batteries. Nat. Energy 1–8 (2020) doi:10.1038/s41560-020-0634-5."
7_m_lifsi_fec,7 M LiFSI FEC,Li|Cu,LiFSI,,,7.0,,,FSI,FEC,1.0,EC,,,,,,,,1,97.74,97.74,0.25,0.25,0.5,0.5,,"Suo, L. et al. Fluorine-donating electrolytes enable highly reversible 5-V-class Li metal batteries. Proc. Natl. Acad. Sci. 115, 1156 LP – 1161 (2018)."
1_m_lifsi_fsa,1 M LiFSI FSA,Li|Cu,LiFSI,,,1.0,,,FSI,,1.0,,,,,,,,,1,97.87,97.87,0.5,0.5,0.5,0.5,unknown_tokens:FSA,"Xue, W. et al. FSI-inspired solvent and “full fluorosulfonyl” electrolyte for 4 V class lithium-metal batteries. Energy Environ. Sci. 13, 212–220 (2020)."
lifsi_sl_1_2_5_molar,LiFSI SL (1:2.5 molar),Li|Cu,LiFSI,,,,,,FSI,SL,,,,,,,,,,1,98.0,98.0,1.0,1.0,0.5,0.5,unknown_tokens:MOLAR,"Maeyoshi, Y. et al. Long-Term Stable Lithium Metal Anode in Highly Concentrated Sulfolane-Based Electrolytes with Ultrafine Porous Polyimide Separator. ACS Appl. Mater. Interfaces 11, 25833–25843 (2019)."
1m_lifsi_fec_femc_d2_234_280_793_by_mol,1M LiFSI FEC-FEMC-D2 (234:280:793 by mol),Li|Cu,LiFSI,,,1.0,,,FSI,FEC,0.1,EC,0.2,FEMC,0.7,EMC,,D2,,1,98.16,98.16,0.5,0.5,1.0,1.0,unknown_tokens:BY|MOL;unsupported_species:D2,"Kim, S. C. et al. Potentiometric Measurement to Probe Solvation Energy and Its Correlation to Lithium Battery Cyclability. J. Am. Chem. Soc. 143, 10301–10308 (2021)."
1_2m_lifsi_dmc_btfe_1_2_mol,1.2M LiFSI DMC-BTFE (1:2 mol),Li|Cu,LiFSI,,,1.2,,,FSI,DMC,0.2422754453570001,BTFE,0.7577245546429999,,,,,,,2,98.2,99.5,0.5,0.5,1.0,1.0,unknown_tokens:MOL;unsupported_species:BTFE,"Chen, S. et al. High-Voltage Lithium-Metal Batteries Enabled by Localized High-Concentration Electrolytes. Adv. Mater. 30, 1–7 (2018). || Yu, L. et al. A Localized High-Concentration Electrolyte with Optimized Solvents and Lithium Difluoro(oxalate)borate Additive for Stable Lithium Metal Batteries. ACS Energy Lett. 3, 2059–2067 (2018)."
1_lifsi_3_tms,1 LiFSI - 3 TMS,Li|Cu,LiFSI,,,,,,FSI,TMS,,,,,,,,,,1,98.2,98.2,0.5,0.5,1.0,1.0,unsupported_species:TMS,"Ren, X. et al. Localized High-Concentration Sulfone Electrolytes for High-Efficiency Lithium-Metal Batteries. Chem 4, 1877–1892 (2018)."
1_m_lifsi_methf,1 M LiFSI MeTHF,Li|Cu,LiFSI,,,1.0,,,FSI,,1.0,,,,,,,,,1,98.2,98.2,1.0,1.0,1.0,1.0,unknown_tokens:METHF,"Xu, R. et al. Designing and Demystifying the Lithium Metal Interface toward Highly Reversible Batteries. Adv. Mater. 33, 2105962 (2021)."
4_6_m_lifsi_dme,4.6 M LiFSI DME,Li|Cu,LiFSI,,,4.6,,,FSI,DME,1.0,,,,,,,,,1,98.2,98.2,0.5,0.5,0.5,0.5,,"Alvarado, J. et al. Bisalt ether electrolytes: a pathway towards lithium metal batteries with Ni-rich cathodes. Energy Environ. Sci. 12, 780–794 (2019)."
lifsi_dmc_1_1_5_mol,LiFSI DMC (1:1.5 mol),Li|Cu,LiFSI,,,,,,FSI,DMC,,,,,,,,,,1,98.3,98.3,1.0,1.0,1.0,1.0,unknown_tokens:MOL,"Piao, N. et al. Countersolvent Electrolytes for Lithium-Metal Batteries. Adv. Energy Mater. 10, 1903568 (2020)."
1_m_lifsi_dmethf,1 M LiFSI DMeTHF,Li|Cu,LiFSI,,,1.0,,,FSI,DME,1.0,,,,,,,,,1,98.4,98.4,1.0,1.0,1.0,1.0,unknown_tokens:DMETHF,"Xu, R. et al. Designing and Demystifying the Lithium Metal Interface toward Highly Reversible Batteries. Adv. Mater. 33, 2105962 (2021)."
1_2m_lifsi_0_15m_lidfob_ec_emc_btfe_0_175_0_825_2_mol,1.2M LiFSI 0.15M LiDFOB EC-EMC-BTFE (0.175:0.825:2 mol),Li|Cu,LiFSI,LiDFOB,,1.2,0.15,,FSI,EC,0.0327568743092422,EMC,0.2395373147852943,BTFE,0.7277058109054634,,,,,1,98.5,98.5,0.5,0.5,1.0,1.0,unknown_tokens:MOL;unsupported_species:BTFE,"Yu, L. et al. A Localized High-Concentration Electrolyte with Optimized Solvents and Lithium Difluoro(oxalate)borate Additive for Stable Lithium Metal Batteries. ACS Energy Lett. 3, 2059–2067 (2018)."
lifsi_an_vc_0_52_1_0_09_molar,LiFSI-AN-VC (0.52:1:0.09 molar),Li|Cu,LiFSI,,,,,,FSI,VC,,,,,,,,,,1,98.6,98.6,1.0,1.0,1.0,1.0,unknown_tokens:AN|MOLAR;unsupported_species:VC,"Peng, Z. et al. High-Power Lithium Metal Batteries Enabled by High-Concentration Acetonitrile-Based Electrolytes with Vinylene Carbonate Additive. Adv. Funct. Mater. 30, 2001285 (2020)."
lifsi_dmc_tte_1_1_5_1_5_mol,LiFSI DMC-TTE (1:1.5:1.5 mol),Li|Cu,LiFSI,,,,,,FSI,DMC,,TTE,,,,,,,,1,98.6,98.6,0.5,0.5,1.0,1.0,unknown_tokens:MOL;unsupported_species:TTE,"Piao, N. et al. Countersolvent Electrolytes for Lithium-Metal Batteries. Adv. Energy Mater. 10, 1903568 (2020)."
6_m_lifsi_dmc,6 M LiFSI DMC,Li|Cu,LiFSI,,,6.0,,,FSI,DMC,1.0,,,,,,,,,1,98.7,98.7,0.5,0.5,1.0,1.0,,"Fan, X. et al. Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries. Chem 4, 174–185 (2018)."
3_m_lifsi_dol_dme_1_1_vol,3 M LiFSI DOL-DME (1:1 vol),Li|Cu,LiFSI,,,3.0,,,FSI,DOL,0.5,DME,0.5,,,,,,,1,98.75,98.75,1.0,1.0,1.62,1.62,,"Beyene, T. T. et al. Effects of Concentrated Salt and Resting Protocol on Solid Electrolyte Interface Formation for Improved Cycle Stability of Anode-Free Lithium Metal Batteries. ACS Appl. Mater. Interfaces 11, 31962–31971 (2019)."
1_lifsi_3_tms_3_tte,1 LiFSI - 3 TMS- 3 TTE,Li|Cu,LiFSI,,,,,,FSI,TMS,,TTE,,,,,,,,1,98.8,98.8,0.5,0.5,1.0,1.0,unsupported_species:TMS|TTE,"Ren, X. et al. Localized High-Concentration Sulfone Electrolytes for High-Efficiency Lithium-Metal Batteries. Chem 4, 1877–1892 (2018)."
1m_lifsi_0_3_m_lino3_fec_gbl_1_2_v_v,1M LiFSI+0.3 M LiNO3-FEC/GBL (1:2 v/v),Li|Cu,LiFSI,LiNO3,,1.0,0.3,,FSI,FEC,0.333,EC,0.667,GBL,,,,,,1,98.8,98.8,0.5,0.5,1.0,1.0,,"Jie, Y. et al. Enabling High-Voltage Lithium Metal Batteries by Manipulating Solvation Structure in Ester Electrolyte. Angew. Chemie Int. Ed. 59, 3505–3510 (2020)."
8_m_lifsi_pc,8 M LiFSI PC,Li|Cu,LiFSI,,,8.0,,,FSI,PC,1.0,,,,,,,,,1,98.8,98.8,0.5,0.5,1.0,1.0,,"Fan, X. et al. Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries. Chem 4, 174–185 (2018)."
1_m_lifsi_dee,1 M LiFSI DEE,Li|Cu,LiFSI,,,1.0,,,FSI,DEE,1.0,,,,,,,,,2,98.9,99.04,0.5,0.5,1.0,1.0,unsupported_species:DEE,"Chen, Y. et al. Steric Effect Tuned Ion Solvation Enabling Stable Cycling of High-Voltage Lithium Metal Battery. J. Am. Chem. Soc. (2021) doi:10.1021/jacs.1c09006. || Holoubek, J. et al. Tailoring electrolyte solvation for Li metal batteries cycled at ultra-low temperature. Nat. Energy 6, 303–313 (2021)."
1_m_lifsi_dol_dme_1_1_vol,1 M LiFSI DOL-DME (1:1 vol),Li|Cu,LiFSI,,,1.0,,,FSI,DOL,0.5,DME,0.5,,,,,,,1,98.9,98.9,0.5,0.5,1.0,1.0,,"Holoubek, J. et al. Tailoring electrolyte solvation for Li metal batteries cycled at ultra-low temperature. Nat. Energy 6, 303–313 (2021)."
0_47m_lifsi_dol_btfe_1_4_w_w,0.47M LiFSI DOL-BTFE (1:4 w/w),Li|Cu,LiFSI,,,0.47,,,FSI,DOL,0.2487597448618001,BTFE,0.7512402551381998,,,,,,,1,98.92,98.92,0.5,0.5,1.0,1.0,unsupported_species:BTFE,"Liu, H. et al. Ultrahigh coulombic efficiency electrolyte enables Li||SPAN batteries with superior cycling performance. Mater. Today 42, 17–28 (2021)."
1m_lifsi_fdmb,1M LiFSI FDMB,Li|Cu,LiFSI,,,1.0,,,FSI,FDMB,1.0,DMB,,,,,,,,1,98.98,98.98,0.5,0.5,1.0,1.0,unsupported_species:DMB|FDMB,"Kim, S. C. et al. Potentiometric Measurement to Probe Solvation Energy and Its Correlation to Lithium Battery Cyclability. J. Am. Chem. Soc. 143, 10301–10308 (2021)."
1_2_m_lifsi_dee,1.2 M LiFSI DEE,Li|Cu,LiFSI,,,1.2,,,FSI,DEE,1.0,,,,,,,,,1,99.0,99.0,0.5,0.5,1.0,1.0,unsupported_species:DEE,"Yu, Z. et al. Rational solvent molecule tuning for high-performance lithium metal battery electrolytes. Nat. Energy (2022) doi:10.1038/s41560-021-00962-y."
2_2m_lifsi_tep_1_2_mr,2.2M LiFSI TEP (= 1:2 MR),Li|Cu,LiFSI,,,2.2,,,FSI,TEP,1.0,EP,,,,,,,,1,99.0,99.0,0.2,0.2,1.0,1.0,unknown_tokens:MR;unsupported_species:TEP,"Zeng, Z. et al. Non-flammable electrolytes with high salt-to-solvent ratios for Li-ion and Li-metal batteries. Nat. Energy 3, 674–681 (2018)."
4m_lifsi_dme,4M LiFSI DME,Li|Cu,LiFSI,,,4.0,,,FSI,DME,1.0,,,,,,,,,1,99.1,99.1,0.2,0.2,1.0,1.0,,"Qian, J. et al. High rate and stable cycling of lithium metal anode. Nat. Commun. 6, (2015)."
5_m_lifsi_ec_etfec_3_7_vol,5 M LiFSI/EC-ETFEC (3:7 vol),Li|Cu,LiFSI,,,5.0,,,FSI,EC,0.3,TFEC,0.7,FEC,,,,,,1,99.1,99.1,0.25,0.25,0.5,0.5,unknown_tokens:ETFEC;unsupported_species:TFEC,"Chen, S. et al. High-Efficiency Lithium Metal Anode Enabled by a Concentrated/Fluorinated Ester Electrolyte. ACS Appl. Mater. Interfaces 12, 27794–27802 (2020)."
lifsi_1_4tep_3tte,LiFSI-1.4TEP-3TTE,Li|Cu,LiFSI,,,,,,FSI,TEP,,EP,,TTE,,,,,,1,99.1,99.1,0.5,0.5,1.0,1.0,unsupported_species:TEP|TTE,"Ren, X. et al. Role of inner solvation sheath within salt–solvent complexes in tailoring electrode/electrolyte interphases for lithium metal batteries. Proc. Natl. Acad. Sci. 117, 28603–28613 (2020)."
2_54m_lifsi_dme_btfe_1_4_w_w,2.54M LiFSI DME-BTFE (1:4 w/w),Li|Cu,LiFSI,,,2.54,,,FSI,DME,0.2879409351927809,BTFE,0.712059064807219,,,,,,,1,99.11,99.11,0.5,0.5,1.0,1.0,unsupported_species:BTFE,"Liu, H. et al. Ultrahigh coulombic efficiency electrolyte enables Li||SPAN batteries with superior cycling performance. Mater. Today 42, 17–28 (2021)."
1m_lifsi_dmc_btfe_1_2_by_mol,1M LiFSI DMC-BTFE (1:2 by mol),Li|Cu,LiFSI,,,1.0,,,FSI,DMC,0.2450466662039999,BTFE,0.7549533337960002,,,,,,,1,99.12,99.12,0.5,0.5,1.0,1.0,unknown_tokens:BY|MOL;unsupported_species:BTFE,"Kim, S. C. et al. Potentiometric Measurement to Probe Solvation Energy and Its Correlation to Lithium Battery Cyclability. J. Am. Chem. Soc. 143, 10301–10308 (2021)."
10_m_lifsi_dmc,10 M LiFSI DMC,Li|Cu,LiFSI,,,10.0,,,FSI,DMC,1.0,,,,,,,,,1,99.2,99.2,0.5,0.5,1.0,1.0,,"Fan, X. et al. Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries. Chem 4, 174–185 (2018)."
1_2m_lifsi_tep_btfe_1_3_mol,1.2M LiFSI TEP-BTFE (1:3 mol),Li|Cu,LiFSI,,,1.2,,,FSI,TEP,0.3039902023183154,EP,0.6960097976816846,BTFE,,,,,,1,99.2,99.2,0.5,0.5,1.0,1.0,unknown_tokens:MOL;unsupported_species:BTFE|TEP,"Chen, S. et al. High-Efficiency Lithium Metal Batteries with Fire-Retardant Electrolytes. Joule 2, 1548–1558 (2018)."
5_5m_lifsi_dmc,5.5M LiFSI DMC,Li|Cu,LiFSI,,,5.5,,,FSI,DMC,1.0,,,,,,,,,1,99.2,99.2,0.5,0.5,1.0,1.0,,"Chen, S. et al. High-Voltage Lithium-Metal Batteries Enabled by Localized High-Concentration Electrolytes. Adv. Mater. 30, 1–7 (2018)."
lifsi_tep_1_1_molar,LiFSI-TEP 1:1 molar,Li|Cu,LiFSI,,,,,,FSI,TEP,,EP,,,,,,,,1,99.2,99.2,0.2,0.2,1.0,1.0,unknown_tokens:MOLAR;unsupported_species:TEP,"Xiao, L. et al. Stable Li Metal Anode with “Ion–Solvent-Coordinated” Nonflammable Electrolyte for Safe Li Metal Batteries. ACS Energy Lett. 4, 483–488 (2019)."
4_5_m_lifsi_dme_1_1,4.5 M LiFSI/DME (1 : 1),Li|Cu,LiFSI,,,4.5,,,FSI,DME,1.0,,,,,,,,,1,99.22,99.22,0.5,0.5,1.0,1.0,,"Huang, F. et al. Enhancing metallic lithium battery performance by tuning the electrolyte solution structure. J. Mater. Chem. A 6, 1612–1620 (2018)."
10_m_lifsi_ec_dmc,10 M LiFSI EC-DMC,Li|Cu,LiFSI,,,10.0,,,FSI,EC,0.5,DMC,0.5,,,,,,,1,99.3,99.3,0.5,0.5,1.0,1.0,,"Fan, X. et al. Highly Fluorinated Interphases Enable High-Voltage Li-Metal Batteries. Chem 4, 174–185 (2018)."
1_2_m_lifsi_f3dee,1.2 M LiFSI F3DEE,Li|Cu,LiFSI,,,1.2,,,FSI,DEE,1.0,,,,,,,,,1,99.3,99.3,0.5,0.5,1.0,1.0,unknown_tokens:F3DEE;unsupported_species:DEE,"Yu, Z. et al. Rational solvent molecule tuning for high-performance lithium metal battery electrolytes. Nat. Energy (2022) doi:10.1038/s41560-021-00962-y."
1_2_m_lifsi_f6dee,1.2 M LiFSI F6DEE,Li|Cu,LiFSI,,,1.2,,,FSI,DEE,1.0,,,,,,,,,1,99.3,99.3,0.5,0.5,1.0,1.0,unknown_tokens:F6DEE;unsupported_species:DEE,"Yu, Z. et al. Rational solvent molecule tuning for high-performance lithium metal battery electrolytes. Nat. Energy (2022) doi:10.1038/s41560-021-00962-y."
1_33_m_lifsi_dme_tte_1_2_vol,1.33 M LiFSI DME-TTE (1:2 vol),Li|Cu,LiFSI,,,1.33,,,FSI,DME,0.333,TTE,0.667,,,,,,,1,99.3,99.3,0.2,0.2,0.5,0.5,unsupported_species:TTE,"Park, K., Jo, Y., Koo, B., Lee, H. & Lee, H. Wide temperature cycling of Li-metal batteries with hydrofluoroether dilution of high-concentration electrolyte. Chem. Eng. J. 427, 131889 (2022)."
lifsi_2_2dmc_3tte,LiFSI-2.2DMC-3TTE,Li|Cu,LiFSI,,,,,,FSI,DMC,,TTE,,,,,,,,1,99.3,99.3,0.5,0.5,1.0,1.0,unsupported_species:TTE,"Ren, X. et al. Enabling High-Voltage Lithium-Metal Batteries under Practical Conditions. Joule 3, 1662–1676 (2019)."
lifsi_dme_fb_1_1_2_3_molar,LiFSI-DME-FB (1:1.2:3 molar),Li|Cu,LiFSI,,,,,,FSI,DME,,,,,,,,,,1,99.3,99.3,1.0,1.0,1.0,1.0,unknown_tokens:FB|MOLAR,"Jiang, Z. et al. Fluorobenzene, A Low-Density, Economical, and Bifunctional Hydrocarbon Cosolvent for Practical Lithium Metal Batteries. Adv. Funct. Mater. 31, 2005991 (2021)."
